internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22708835,Turdus ravidus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,ravidus,,,,,"(Cory, 1886)",
18220,Procambarus angustatus,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,Procambarus,angustatus,,,,,"(LeConte, 1856)",
14891,Notropis orca,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Notropis,orca,,,,,"Woolman, 1894",
2100,Argyresthia castaneella,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARGYRESTHIIDAE,Argyresthia,castaneella,,,,,"Busck, 1915",
7028,Ectoedemia castaneae,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NEPTICULIDAE,Ectoedemia,castaneae,,,,,"Busck, 1913",
7029,Ectoedemia phleophaga,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NEPTICULIDAE,Ectoedemia,phleophaga,,,,,"Busck, 1914",
22088,Triaenodes tridontus,ANIMALIA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,Triaenodes,tridontus,,,,,"Ross, 1938",
251,Acipenser nudiventris Aral Sea subpopulation,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,nudiventris,,,,Aral Sea subpopulation,"Lovetzky, 1828",
60765,Labeobarbus reinii,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Labeobarbus,reinii,,,,,"(Günther, 1874)",Tsigenopoulos <em>et al</em>. (2010) transferred '<em>Barbus</em>' <em>reinii</em> to the genus <em>Labeobarbus</em>.
60731,Luciobarbus antinorii,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Luciobarbus,antinorii,,,,,"(Boulenger, 1911)",Levin <em>et al</em>. (2012) transferred this species to the genus <em>Luciobarbus</em>.
217675561,Luciobarbus nasus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Luciobarbus,nasus,,,,,"(Günther, 1874)","This is the new concept of <em>Luciobarbus nasus</em>, following a systematic review by Doadrio <em>et al</em>. (2016) with the old concept having been divided into four species: <em>Luciobarbus magniatlantis</em>, <em>Luciobarbus guercifensis</em>, <em>Luciobarbus zayanensis</em>, and this new restricted concept of <em>Luciobarbus nasus</em>, each of which are now assessed separately."
61190,Salmo pallaryi,ANIMALIA,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,Salmo,pallaryi,,,,,"Pellegrin, 1924","Five endemic <em>Salmo</em> populations from northwest Africa are currently recognised as valid species<em></em>. All are members of the so-called '<em>Salmo trutta</em>'   (brown trout) complex', which is widely distributed across much of the   Palearctic region. However, taxonomic classification within this  complex  remains a matter of discussion due to its complicated  evolutionary  history and inherent phenotypic diversity. While a  consensus regarding  the existence of several distinct phylogeographic  lineages (Atlantic,  Duero, Mediterranean, Adriatic, Marmoratus,  Danubian and Tigris) has  been reached, the evolutionary relationships  between them remain  unclear. In northwest Africa, mitochondrial and  nuclear DNA analyses  have revealed the existence of three major clades  which derived from  multiple waves of ancient colonisation; (1) an  Afro-Atlantic clade  inhabiting Mediterranean coastal rivers of North  Africa and the Sous  River system in Atlantic Morocco, stemming from a  colonisation wave of  the Atlantic lineage from Iberia, (2) a relict and  native clade  inhabiting the Draa River in Atlantic Morocco and (3) a  native Atlas  Mountains clade which probably arose from a reticulate  evolutionary  event, following invasion by Atlantic trout that  introgressed into local  populations.<br/><br/>The drawing of concrete  conclusions is complicated,  however, because the stocking of hatchery  trout appears to have driven  significant introgression in some  populations. Furthermore, the <em>Salmo trutta</em>  complex reaches the  southern limit of its natural range in northwest  Africa, and most  rivers in the region are too warm to support trout  populations. Those  populations that do exist are mostly confined to high  altitude streams  and lakes, or perennial headwaters of short  Mediterranean rivers. This  degree of isolation, coupled with the  relatively extreme environmental  conditions, has permitted localised  adaptation and morphological  differentiation which is not necessarily  reflected in distinct genetic  signatures. In fact, the population  inhabiting the Draa River   constitutes the only case in which a fully preserved indigenous genetic   signature has been detected. Additional research employing a broader   genomic survey has therefore been recommended to more clearly elucidate   the evolutionary and taxonomic relationships between northwest African <em>Salmo</em> populations.<br/><br/><em>Salmo pallaryi</em> has not been included in any DNA analysis, but is likely to have belonged to the Atlas Mountains clade given the location of its only known population."
136814105,Bourreria veracruzana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,EHRETIACEAE,Bourreria,veracruzana,,,,,G.Campos-Ríos &amp; F.Chiang,
140414966,Scleria chevalieri,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scleria,chevalieri,,,,,J.Raynal,
140416589,Eriocaulon inundatum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,ERIOCAULACEAE,Eriocaulon,inundatum,,,,,Moldenke,
140416686,Eriocaulon jordanii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,ERIOCAULACEAE,Eriocaulon,jordanii,,,,,(Moldenke) Meikle,
145283841,Beilschmiedia ningmingensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Beilschmiedia,ningmingensis,,,,,S.K.Lee &amp; Y.T.Wei,
18428,Psephurus gladius,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,POLYODONTIDAE,Psephurus,gladius,,,,,"(Martens, 1862)",
30393,Streblorrhiza speciosa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Streblorrhiza,speciosa,,,,,Endl.,
31679,Euchorium cubense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Euchorium,cubense,,,,,Ekman &amp; Radlk.,
35111,Myoporum rimatarense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,SCROPHULARIACEAE,Myoporum,rimatarense,,,,,F.Brown,
35254,Banara wilsonii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,SALICACEAE,Banara,wilsonii,,,,,Alain,
38848,Guettarda retusa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Guettarda,retusa,,,,,C.Wright,
147088627,Monteverdia lineata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Monteverdia,lineata,,,,,(C.Wright ex Griseb.) Biral,
149618647,Licaria mexicana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,LAURACEAE,Licaria,mexicana,,,,,(Brandegee) Kosterm.,
31675,Angostura ossana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Angostura,ossana,,,,,(DC.) Beurton,
18487,Pseudocampylaea lowii,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Pseudocampylaea,lowii,,,,,"(A. Férussac, 1835)","Seddon (2008) noted that it was possibly only a giant form of&#160;<span style=""font-style: italic;"">Pseudocampylaea portosanctana</span>, but both have been found alive on Ilheu de Cima and, according to Wollaston (1878), there are a few other conchological differences besides size.<br/><br/>The species was originally assessed as <em>'Pseudocampylaea loweii</em>' A. Férussac, 1835, however the correct specific epithet is '<em>lowii</em>' (E. Neubert pers. comm. 2019)."
22690733,Ectopistes migratorius,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ectopistes,migratorius,,,,,"(Linnaeus, 1766)",
22720863,Melamprosops phaeosoma,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Melamprosops,phaeosoma,,,,,"Casey & Jacobi, 1974",
103671170,Cichlocolaptes mazarbarnetti,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Cichlocolaptes,mazarbarnetti,,,,,"Mazar Barnett &amp; Buzzetti, 2014",
22702869,Philydor novaesi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Philydor,novaesi,,,,,"Teixeira & Gonzaga, 1983",
58390,Nannophrys guentheri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Nannophrys,guentheri,,,,,"Boulenger, 1882",The five available museum specimens require further comparison with specimens of <i>Nannophrys ceylonensis</i>.
58811,Pseudophilautus adspersus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,adspersus,,,,,"(Günther, 1872)",
58835,Pseudophilautus dimbullae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,dimbullae,,,,,"(Shreve, 1940)","This species is considered distinct from <em>Philautus microtympanum</em>, following Manamendra-Arachchi and Pethiyagoda (2005)."
58839,Pseudophilautus eximius,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,eximius,,,,,"(Shreve, 1940)",
58840,Pseudophilautus extirpo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,extirpo,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58852,Pseudophilautus halyi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,halyi,,,,,"(Boulenger, 1904)",This species is considered distinct from <em>Philautus leucorhinus</em> following Manamendra-Arachchi and Pethiyagoda (2005).
58862,Pseudophilautus leucorhinus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,leucorhinus,,,,,"(Lichtenstein &amp; Martens, 1856)",Specimens recorded as <i>Philautus temporalis</i> and <i>P. leucorhinus</i> from the Western Ghats of India are now considered to be <i>P. wynaadensis</i>. <i>P. temporalis</i> and <i>P. leucorhinus</i> are endemic species of Sri Lanka (S.D. Biju and K. Manamendra-Arachchi pers. comm.; Bossuyt and Dubois 2001).
58869,Pseudophilautus malcolmsmithi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,malcolmsmithi,,,,,"(Ahl, 1927)",We consider this species to be distinct from <i>Philautus leucorhinus</i> following Manamendra-Arachchi and Pethiyagoda (2005).
58877,Pseudophilautus nanus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nanus,,,,,"(Günther, 1869)",This species was resurrected from the synonymy of <em>Philautus microtympanum</em> by Dutta and Manamendra-Arachchi (1996).
58878,Pseudophilautus nasutus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nasutus,,,,,"(Günther, 1869)",
58883,Pseudophilautus oxyrhynchus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,oxyrhynchus,,,,,"(Günther, 1872)",This species is considered distinct from <i>Philautus leucorhinus</i> following Manamendra-Arachchi and Pethiyagoda (2005).
58895,Pseudophilautus rugatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,rugatus,,,,,"(Ahl, 1927)","This species is considered distinct from <i>Philautus leucorhinus</i> (Günther, 1858) following Manamendra-Arachchi and Pethiyagoda (2005)."
58924,Pseudophilautus temporalis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,temporalis,,,,,"(Günther, 1864)",Specimens formerly attributed to <em>Philautus temporalis</em> and <em>P. leucorhinus</em> from the Western Ghats are now correctly assigned to <em>P. wynaadensis</em>. <em>P. temporalis</em> and <em>P. leucorhinus</em> are now considered to be endemic species of Sri Lanka (S.D. Biju and K. Manamendra-Arachchi pers. comm.).
58931,Pseudophilautus variabilis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,variabilis,,,,,"(Günther, 1858)","Specimens formerly attributed to <em>Philautus variabilis</em> from the Western Ghats of India are now known to be misidentified <em>P. wynaadensis</em>. <em>P. variabilis</em> is endemic to Sri Lanka, where it is now considered to be extinct (K. Manamendra-Arachchi and S.D. Biju pers. comm.)."
58938,Pseudophilautus zal,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zal,,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",
58939,Pseudophilautus zimmeri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zimmeri,,,,,"(Ahl, 1927)",This species is considered distinct from <em>Philautus microtympanum</em> following Manamendra-Arachchi and Pethiyagoda (2005).
136000,Pseudophilautus maia,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,maia,,,,,"(Meegaskumbura, Manamendra-Arachchi, Schneider &amp; Pethiyagoda, 2007)",
136163,Pseudophilautus pardus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,pardus,,,,,"(Meegaskumbura, Manamendra-Arachchi, Schneider &amp; Pethiyagoda, 2007)",
158037164,Pycnandra micrantha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,SAPOTACEAE,Pycnandra,micrantha,,,,,(Beauvis.) Munzinger &amp; Swenson,
111907266,Musa fitzalanii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,MUSACEAE,Musa,fitzalanii,,,,,F.Muell.,"According to Häkkinen (2013),&#160;<em>Musa fitzalanii&#160;</em>F.Muell. is assigned to&#160;<em>Musa</em>&#160;sect.&#160;<em>Callimusa</em>&#160;Cheesman. By this definition,&#160;<em>M. fitzalanii</em>&#160;is a wild relative of Manila hemp,&#160;<em>M. textilis</em>&#160;Née., and Fe'i bananas, under Taxon Group 2,&#160;and a wild relative of edible crop bananas and plantains under Taxon group 4,&#160;according to the taxon group definition by Maxted&#160;<em>et al.</em>&#160;(2006). However, it should be noted that Häkkinen's classification does not have universal contemporary support (J. Daniells pers. comm. 2020), and recent accounts contend the validity of the ascribed sections (Daniells and Janssens 2020). Additionally, for <em>M. fitzalanii </em>in particular, the decision to reassign the taxon to section <em>Callimusa</em>&#160;from the former section <em>Eumusa </em>does not appear to be evidence-based (J. Daniells pers. comm. 2020).&#160;At present, though, an alternative contemporary classification scheme has not been formally proposed, so for now this classification is retained to define relatedness to the crop.<br/><br/><em>Musa fitzalanii</em>&#160;has been widely accepted as a distinct species (Ross 1987, Hnatiuk 1990, Häkkinen 2013, Department of the Environment 2020, WCSP 2020). At present, there is insufficient evidence to disprove its specific status; however, it is likewise challenging to prove its taxonomic distinctness (J. Daniells pers. comm. 2020). Simmonds (1956) considered the species likely to be allied to <em>M. schizocarpa</em>&#160;and this remains a possibility (J. Daniells pers. comm. 2020). Further research into the taxonomy of the species is necessary, yet availability of suitable genetic material with which to conduct such research may be a limiting factor."
10946,Juscelinomys candango,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Juscelinomys,candango,,,,,"Moojen, 1965",
13484053,Nactus soniae,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Nactus,soniae,,,,,"Arnold &amp; Bour, 2008",
11410,Leiolopisma mauritiana,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Leiolopisma,mauritiana,,,,,"(Günther, 1877)",
16925,Phelsuma gigas,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Phelsuma,gigas,,,,,"Liénard, 1842",
22607,Madatyphlops cariei,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TYPHLOPIDAE,Madatyphlops,cariei,,,,,"(Hoffstetter, 1946)","If, as proposed by Cheke (2010), the type locality of&#160;<em>Cathetorhinus</em><em>&#160;melanocephalus&#160;</em>is on Mauritius, this name is likely to be a senior synonym of the only native blindsnake known from Mauritius,&#160;<em>Madatyphlops cairei</em>. This author cautions, however, that it is ""not likely to be easy"" to demonstrate a connection between the two, as&#160;<em>M. cairei&#160;</em>is known only from subfossil remains from a site with poor DNA preservation and the&#160;<em>C. melanorhinus&#160;</em>holotype has been preserved in alcohol for more than 200 years."
6331,Deloneura immaculata,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Deloneura,immaculata,,,,,"Trimen, 1868","<em>Deloneura</em> belongs in the tribe Pentilini not Liptenini. Subtribes are no longer used in the subfamily Poritiinae, so the name Durbaniina should be deleted. <em>Deloneura </em>is not divided into subgenera. The type locality of <em>D. immaculata</em> is ""Bashee River, Kaffraria [Eastern Cape Province, South Africa]""."
11537,Lepidochrysops hypopolia,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Lepidochrysops,hypopolia,,,,,"(Trimen &amp; Bowker, 1887)",There are no notable issues.
168623053,Syzygium humblotii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MYRTACEAE,Syzygium,humblotii,,,,,Labat &amp; Schatz,
169838762,Schizothorax saltans,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Schizothorax,saltans,,,,,"Turdakov, 1955",
44791445,Ameles fasciipennis,ANIMALIA,ARTHROPODA,INSECTA,MANTODEA,MANTIDAE,Ameles,fasciipennis,,,,,"Kaltenbach, 1963",
177653,Leiorhagium solemi,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,TATEIDAE,Leiorhagium,solemi,,,,,"Haase &amp; Bouchet, 1998",
103823595,Hemignathus lucidus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Hemignathus,lucidus,,,,,"Lichtenstein, 1839","<p><em>Hemignathus lucidus</em>,<em> H. hanapepe</em> and<em> H. affinis</em> (del Hoyo and Collar 2016) were previously lumped as<em> H. lucidus </em>following AOU (1998 &amp; supplements); Sibley &amp; Monroe (1990, 1993).</p>"
33670,Melicope macropus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Melicope,macropus,,,,,(Hillebr.) T.G.Hartley &amp; B.C.Stone,
34040,Delissea undulata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,CAMPANULACEAE,Delissea,undulata,,,,,Gaudich.,This species (<em>Delissea undulata</em>) was known from two varieties: <em>D. undulata</em> var. <em>undulata </em>and <em>D. u. var. argutidentata</em>. The variety from Hawai'i Island was elevated to <em>D. argutidentata</em> and the variety from Maui was elevated to <em>D. undulata</em>.
113168368,Leucadendron grandiflorum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Leucadendron,grandiflorum,,,,,(Salisb.) R.Br.,
113166006,Leucadendron spirale,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,PROTEACEAE,Leucadendron,spirale,,,,,(Salisb. ex Knight) I.Williams,
4135,Barbodes pachycheilus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,pachycheilus,,,,,"(Herre, 1924)",
12751,Barbodes resimus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,resimus,,,,,"(Herre, 1924)",
15633,Barbodes palaemophagus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,palaemophagus,,,,,"(Herre, 1924)",
15634,Barbodes truncatulus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,truncatulus,,,,,"(Herre, 1924)",
18882,Barbodes amarus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,amarus,,,,,"Herre, 1924",
18884,Barbodes baoulan,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,baoulan,,,,,"Herre, 1926",
18886,Barbodes clemensi,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,clemensi,,,,,"Herre, 1924",
18888,Barbodes disa,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,disa,,,,,"Herre, 1932",
18889,Barbodes flavifuscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,flavifuscus,,,,,"Herre, 1924",
18890,Barbodes herrei,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Barbodes,herrei,,,,,"(Fowler, 1934)",
